,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
disapproval,0.13774627076129894,0.2481886786350071,0.020703899268805784,-0.14467485083735285,-0.02609632341091582,-0.028923434955636766,-0.005425309540384027,-0.026417732831504663,-0.04969910068105369,-0.020051665484274707,0.08924947240510762,0.1311482533722362,-0.03929429302902249,0.7860859817266023,0.04559448330393498,0.20882048165337963,0.3102449261273138,0.03883898055973976,-0.08426695630790544,0.013589020811253193,0.11510102460907128,-0.10927537566382034,-0.24423475332049824,-0.03349711787931806,-0.06642469054611551,0.029053722827124876,0.021884927202317207,0.07670206137120605
disgust,0.21458035511205723,0.2803728935498051,0.12267038806708862,-0.1647610833005455,0.10953135405375829,0.1783296230868412,0.03012586142685849,-0.035072365003701686,0.018610755753412048,-0.0037944905888097603,0.010488176754849945,-0.007617574558188621,0.053756099402968105,-0.14146983452268416,0.2396379507800703,0.055702671922971736,-0.09830285149165721,0.6449059525157916,0.41274534097436544,0.06496253328913795,-0.2031215277542432,0.09328500668848767,-0.14343560143132728,0.02513469307386844,-0.06628144691606161,0.16088284304777378,0.02387169562603142,0.03310850257246542
embarrassment,0.19843675529472365,0.05592922590080359,0.186574634664443,-0.008308273467807551,0.012069808969655711,-0.025796737342475735,0.0509611769638955,-0.31116256137271103,0.26389639210184185,0.3005164830822619,0.21524004711373745,-0.06768413822214088,0.07703902074342708,-0.17250619545249202,0.47124350927955916,0.08709444273469409,-0.23337578523962205,-0.14303498786057584,-0.40339959311453744,-0.043032915889816156,0.17074690364182105,-0.08807224556889252,-0.25493537863252963,-0.013034730401651491,-0.04766738639057884,-0.023907274838736208,0.00010704433131094499,0.041855687476111535
excitement,-0.09207964321672904,-0.09926121472453982,0.2505731349766542,-0.06662900413017009,0.16722985612113236,-0.12259018544983896,0.2014928176311076,0.4748366594523299,0.20663264466672362,-0.08085558951610484,-0.004433750113126915,-0.06848679084122952,0.014472854795788418,-0.0032958427564468355,0.22681474065820625,0.14768858519895156,0.09660875886685673,-0.17420832258728586,-0.010269712418569589,0.6225013305730557,-0.19396317422313958,0.031179267107469686,-0.01428649480462531,-0.060558053864059304,-0.03834321166815164,-0.06387681363948595,0.027221125295542478,0.04364689844247934
fear,0.1368583220137644,-0.041321799730585286,0.3715275693491104,0.3972313477034617,-0.017231643901395303,0.3856796534127659,-0.056815148001829574,0.03394552368156456,-0.03619503021046264,-0.026275847040515034,-0.007080714428585373,0.05373795128292731,0.040347564821608776,0.03619259887466478,-0.027021743988061217,0.03931845656124074,0.05588344714261912,0.03504968471598836,0.06758509733753584,-0.0951365692304363,0.06779051334018403,0.03407368577958221,0.1380491894721375,-0.22296637073525288,-0.27194815631470415,-0.529170393608729,0.21179088680925698,0.1697872423499482
gratitude,-0.16627608353254697,-0.0353897932577924,-0.09866094683235341,0.057321320392344825,0.483805509616578,0.017682933082388635,-0.18563885727327584,-0.28052330905000705,-0.017962545823618975,0.02897340033397545,-0.22427206189803867,-0.035394307943499466,-0.467663089375265,0.007797170692501977,0.05599793974218836,-0.13170078345969524,0.039496883551435866,0.10145896821197252,-0.08766920861092076,0.22775350611131426,0.15321967109598583,0.01582899973354814,0.00878494902074661,-0.028220683344057047,0.09513983053923863,0.05274332572895165,0.2523649048257351,0.3834682707013229
grief,0.37660401974058155,-0.4001956809330796,-0.13101799388272284,-0.027744188211959425,0.00022177825680030035,-0.017567668878609586,0.011285300289421504,0.08466867277711197,-0.05985613933107352,-0.09276412930047842,-0.0150385983933603,-0.03717612254003071,0.019166716566151286,-0.02984868738330092,-0.1136008881784236,0.029018393179566882,-0.0037772986546639547,0.08928222605243362,-0.04232268117125798,0.02960725436885257,0.02107489996272141,0.051508915142241166,-0.41295800060223214,0.018597577150861768,0.2938573302362977,-0.11159501707333218,0.5422188660366848,-0.25735792168299815
joy,-0.1258060260093813,-0.18013930811704432,0.23211837689707157,-0.27050047521670684,0.10243064891065895,-0.08535704011465275,0.09989788580607413,0.19745130878812198,-0.43048317560545574,0.17671346424404397,-0.001923208297625986,0.07645277134666122,-0.03428063335915835,-0.055748181704791115,0.3231196225209427,0.02358478397262687,0.09647398380780504,-0.14218569965839334,0.1683241798510955,-0.40154345786502993,0.06321765748776476,0.02385325079993304,0.028104871225074744,-0.36353557322080376,0.16188431042989906,0.1429758729719108,0.0983049319094371,0.11563281201812599
love,-0.10027074165176782,-0.010806358623273615,-0.13744516382109195,0.019883606627744875,0.12455563109505238,0.11991123072645811,0.17044714631253985,0.1344609004173952,-0.16116401515253742,0.18161504556417557,0.7960509705639304,-0.09666050901198599,-0.09663261130520998,0.00740064175225616,-0.21864668079969837,0.02215469006824057,-0.15439299497267536,0.020911385488802437,0.13680625905578173,0.10548123301538254,0.16638958627053047,-0.023565008559045305,0.031072535072990612,0.13327743465916614,0.00077546876980954,-0.005549058965182202,0.08404242624398196,0.16015358145304792
nervousness,0.16379829497238046,-0.14118464574078807,0.3999077956140134,0.34452183273601805,-0.05624600689196504,0.3333331221005095,-0.05712641729544153,0.03841708845823993,-0.0369387878783685,-0.04618550798025789,0.001420174874384827,0.03951791487469396,0.01627205667766749,0.041403787653239384,-0.07485833205691345,0.020130549421389365,0.07198575772489203,-0.09655259790399137,-0.057720379619039225,0.04481871050620559,0.0059570190912605365,-0.04675831277983875,0.012485122029160479,0.23651758445675555,0.3051472381114627,0.5910641746738584,-0.09798557218747952,0.11097936736039557
